CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,dif_first,dif_last
BC-1,910919,274,274_910919,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.97466498,0.862225668,0.582540149,0.111951269,0.037702515,0.029085700000000003,0.021417241,0.022024189,0.027252212999999997,Belinostat,BC-1,0.025335019999999986,0.005228023999999998
SUP-HD1,1331039,328,328_1331039,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.986805349,0.861264922,0.538968372,0.23792461399999998,0.141535818,0.13940908300000002,0.158979895,0.147569922,0.1443499,SNX-2112,SUP-HD1,0.013194650999999946,0.003220021999999989
IM-95,1240155,346,346_1240155,2,2.5,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9785107270000001,0.926330544,0.48375135700000005,0.180888773,0.247659961,0.276743096,0.2337089,0.208064435,0.185251655,THZ-2-102-1,IM-95,0.02148927299999992,0.022812780000000005
C-33-A,687505,157,157_687505,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.955111585,0.849482491,0.8863726340000001,0.55323383,0.452490632,0.279076103,0.05975131400000001,0.055524294,0.031957847000000005,JNK-9L,C-33-A,0.04488841499999996,0.023566446999999997
IM-95,1240155,157,157_1240155,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.975135943,0.8951237390000001,0.821717575,0.69074602,0.5643028520000001,0.134833051,0.040075718999999996,0.049700682999999996,0.062691919,JNK-9L,IM-95,0.02486405700000005,0.012991236000000003
PANC-08-13,925347,245,245_925347,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.978726544,0.892090892,0.927626567,0.895233975,0.8304807890000001,0.875218158,0.666432513,0.133607166,0.118629526,UNC0638,PANC-08-13,0.02127345599999997,0.01497764
RD-ES,1330996,272,272_1330996,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.958301252,0.9583582959999999,0.95407327,0.498526149,0.448394367,0.242273552,0.081372008,0.041958942,0.019199426999999998,AR-42,RD-ES,0.04169874799999995,0.022759515
IM-95,1240155,272,272_1240155,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.96106817,0.954371415,0.8753723640000001,0.6975213370000001,0.595025658,0.364489268,0.219300766,0.138655171,0.128459005,AR-42,IM-95,0.03893183,0.010196166000000007
MS-1,753594,180,180_753594,2,0.512,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9813780120000001,0.956933037,0.890817685,0.726830277,0.227101427,0.048239585,0.048318016,0.028006354,0.026965182999999997,Thapsigargin,MS-1,0.018621987999999923,0.001041171000000004
COR-L23,687780,219,219_687780,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.967376067,0.90669081,0.843951282,0.530539851,0.24236076899999998,0.256950061,0.264892087,0.299848153,0.275743298,AT-7519,COR-L23,0.032623932999999994,0.02410485499999998
