CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,auc,spearman_r,count_missing
MEL-JUSO,908125,256,256_908125,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.084443766,0.837731628,0.867241977,0.826922225,0.74626996,0.792394237,0.692727688,0.7172317420000001,0.004400979,JW-7-24-1,MEL-JUSO,0.7852404125013557,-0.9515151515151514,0
JVM-2,907269,308,308_907269,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.984855286,0.976238002,1.001921617,0.958165011,0.808877361,0.737105274,0.6746151420000001,0.592449638,0.053901807,WIKI4,JVM-2,0.8067975816878348,-0.9272727272727272,0
HT,907063,86,86_907063,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.989318839,0.974702421,0.929125168,0.906300763,0.8779663790000001,0.738263632,0.6138345789999999,0.406337094,0.08111052099999999,A-443654,HT,0.7751560151725331,-1.0,0
H-EMC-SS,907290,170,170_907290,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.065347636,1.076397189,0.999030884,0.971211466,0.908958443,0.986536071,0.381253007,0.046156904000000006,0.017863828999999998,Shikonin,H-EMC-SS,0.7715359462241046,-0.9151515151515152,0
HCC2157,749715,53,53_749715,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.98111435,0.950915006,0.982851335,0.98394441,0.966359405,0.925519852,0.79594646,0.349049867,0.189789117,CGP-60474,HCC2157,0.8367328049717524,-0.8545454545454544,0
201T,1287381,135,135_1287381,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.993132077,0.934619914,1.077009454,0.962308659,0.918240067,1.109926143,0.803534038,0.585048857,0.186353959,Gemcitabine,201T,0.8863329098872748,-0.6484848484848483,0
BL-41,910706,179,179_910706,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.906591904,0.90917293,0.954398715,0.963793993,0.965662,0.7662065509999999,0.646576443,0.341267865,0.151868921,5-Fluorouracil,BL-41,0.7810672070169942,-0.7575757575757575,0
MOLP-8,1330950,89,89_1330950,2,5.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.922869444,0.933935708,0.989430179,1.030213139,1.02330022,1.023500662,0.8419281590000001,0.470159485,0.061225132,Parthenolide,MOLP-8,0.8628832848305401,-0.43030303030303024,0
KARPAS-45,907272,86,86_907272,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.040065039,1.055373023,0.994228481,0.933388071,0.927200555,0.78130103,0.5618819310000001,0.3090887,0.113986189,A-443654,KARPAS-45,0.7955022139681255,-0.9515151515151514,0
NCI-H1522,908464,225,225_908464,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.979646844,1.004756166,0.8924296079999999,0.84453166,0.798567053,0.807335087,0.878631101,0.7645726279999999,0.08228941299999999,Genentech Cpd 10,NCI-H1522,0.8346238725980366,-0.8787878787878788,0
